ResponseID,likelihood to recommend,reasons for score
R_39tKUP21k3KkPVX,7,"""Really great customer service and tech support. The 360 allows for a lot of customability, but there are some limitations to the system that are quite inconvenient for us. We also felt a little deceived at the beginning...we didn't know the system was new andessentially in beta form, and we experienced a lot of problems early on."""
R_6kZQ2cZi5vyldlj,7,"""It's very easy and user friendly; intuitive; full of customizations and options.  I see it as a valuable investment, but it's an investment not all of my colleagues could afford, or would need all that it has to offer."""
R_6XnccotxRmWNPhP,6,"""We have had a lot of trouble learning how to use Qualtrics as it is not intuitive or user friendly. However, due to the support by the sales has been helpful"""
R_b71A4Gzc8ND5L9z,5,Customer service has gone down as the company grows. Too many fresh college grads in customer facing positions give the brand a very unprofessional feel
R_2uCcTpUfOt3x3rn,10,"""Friendly service, easy to use tool, good-looking surveys, willingness to be flexible"""
R_cu3nu1SyCBNsfJ3,7,Has been easy to use from starting up - no training required
R_9uDmVa6m2EYBBat,7,I find Qualtrics a good tool for the customer staisfaction surveys I develop.
R_1Nb9AeqCNxMDi8l,9,"""Ease of use, versitility, comprehesive features."""
R_81i6c3QYlLcBQ1L,8,Great product and excellent marketing
R_396h6P3H0epFX13,8,Ease of use
R_6xPJNt6sFv16kf3,10,
R_6F4VFWA7e8jBvff,8,"""It's easy to use and has a lot of functionality. Some points lost for technical limitations around importing/exporting surveys, administrative capabilities and browser support."""
R_8uf9TJ24YtAvsFL,7,
R_d425WnbB3FuQw1n,10,great service and user interface
R_eYhKyn2EcMAxXxj,9,"""I have found it really easy to use to prepare surveys. / I like the way it downloads info into SPSS in remarkably useful format / As an administrator with oversight of how students are using it, I find the info it gives on respondents particularly helpful"""
R_8wXqUO6wJLU5IQR,9,Qualtrics is easy to use at an affordable price.
R_9oWNDk50W8dFc45,10,
R_bxYWIhtZL7kcrzf,10,Capabilities of survey design tool and quality of customer support
R_5iLeJAhDJC38Frn,10,1) easy of use / 2) features / 3) i like the company and its people
R_5vaveS2vFcZcuoZ,10,It is a great platform for data collection. My students who used it were very happy with the program & since they have recommended it for their classmates & friends.
R_cBJ4tafe41hUAXH,10,Easy to set up and u se
R_cIlc4X1OLMBznbT,7,
R_0NiEYbbbB5GhhrL,10,
R_6hSALtWFAQdCSA5,8,I think 8 is a good score.  I like your product and the service you provide. I would like to see some enhancements to the question types and reporting.
R_0qB1DYEtYULlkcR,8,"""The site is easier to use and I am excited about the future of qualtrics. In terms of the software innovation and upgrades that you are working on for the future. But, the system can be expensive for a smaller company so I can't give it a higher score."""
R_daL98Su2Jodq9wh,10,"""Powerful, easy to use, good documentation."""
R_6Am8XECfSflRooZ,7,Good product.  Support is spotty.  Changes made that affect us aren't communicated well
R_2mXPqxO6kgz5Xy5,7,Qualtrics is good but not great / many areas for improvements
R_cG92sP66Gpl9D4V,9,Great customer service and software functionality
R_6FLYrIm6z8WdMTH,9,Everything is good. A tad expensive.
R_6tlqm3Vhb1CNHiR,8,"""Qualtrics has a great tool for building surveys that is very versatile and easy to use.  There are lots of things you guys are doing well.  However, there are a number of ways in which your solution does not work well for transactional surveys and reporting back.  We've been setup with an account for 6 months, but integration and branding for transactional surveys off of Support interactions have taken quite a while to get implemented.  Everyone at Qualtrics has been quite helpful, but a lot of what we're trying to emulate from our previous deployment (which was very limited) has run into roadblocks of the tool.  In order to integrate properly with embedded data, we've needed to setup a web service for handling metadata.  After setting this up, integration of the data has been much better, but handling complex reports within Qualtrics has become cumbersome.  We've previously used GoodData with Zendesk, and the integration of those two platforms has been superb.  I have not had as much luck with Qualtrics reporting providing the versatility of GoodData, or options for customization of reporting. /  / I'm excited to see what you guys can do with your reporting tools, but at this point I feel like despite the amount of time we've spend deploying the solution, I still have a significant trek to make to get to a complete solution.  Some of the tools/integrations that could be put in place to help our organization would be: / 1. Allow triggers to be cloned and reconfigured.  Better yet, devise a way to create/input numerous triggers with one or two variables (like sending feedback to 60 different agents, where the trigger is the same except for one ED field) / 2. The panel system is great, but the ability to handle transactional surveys needs to be better.  For example, I'd like to setup one response per ticket ID (an ED field), since each customer can open multiple tickets, and should be able to give different feedback to the same survey via multiple tickets.  However, I don't want people to submit multiple surveys on the same ticket.  Right now, I have to download the data to Excel, search for duplicates, manually remove the appropriate response_ids and then re-check every few weeks or month. / 3. Reporting tools are scattered.  I opened a ticket on how to create a simple promoter report per agent (or group, or any other metadata field).  With 35 agents in Tier 1, the report quickly ran off the page, and horizontal reporting wasn't the best option.  So, I wanted to make a vertical report for each agent to show % promoter, % detractor, and NPS.  The solution was to make 35 different reports, each with a different agent_name filter and manually label each one.  However, instead of handling it that way, I took another look at the cross tabs portion and wrote up a report in 5 minutes that did the same thing.  Granted, I can only display it in 9 colors, but it'd be nice to have the same functionality under the ""reporting"" tab. / 4. Time filtering needs help.  I need to run weekly KPI reports that rely on a set timeframe, and track progress in each current week as well as reporting on the previous weeks.  Right now, I cannot do that.  I can filter by weeks, but the date moves based upon the timeframe when looking at the report.  This is obviously bad for comparing historical information.  If I use a set time frame, I'd have to adjust it each week and there's no way to have a floating 3 or 4 week window.  I want to see this week, and the last 3 weeks as comparison, but I see no effective way to implement that option. /  / I hope this helps your team understand the challenges we've had for handling our particular deployment.  Likely, there are not that many organizations looking to implement what we are doing.  Perhaps many organizations use external reporting tools, such as GoodData or SSPS to handle the data once passed through Qualtrics.  I'm hoping to use Qualtrics as our entire solution, but exporting the data to GoodData or another tool might be a requirement if we're not able to address some of the business requirements above."""
R_6xOxGBGGBYBxgVv,9,Qualtrics is full featured and easy to use
R_892eD5krOnecqWx,8,"""The software is easy to use, there are a lot of opportunites for customer support, and most of the simple statistics you can do with the program. Really user-friendly but powerful tool."""
R_0Uo9ueTyVj2eeCV,10,Easy to use software; responsive customer support
R_br5hPgPmiu42OTH,9,It's a great solution for surveys that anyone in the faculty can take advantage of while we have a licence.
R_eWmjtzJwTAqCKnX,8,The ease of use and choice of question types
R_6umJESltG2cecgl,9,.
R_6hU5EXALC7Xd2fz,9,"""I am a Qualtrics brand Admin forSANITIZED. I work with a large number of faculty and their requirements. I like the survey systems tremendously. The support is a little less responsive, but not bad."""
R_6EhNfzQq0aXVddP,7,"""I'm not sure that it will come up in conversation (that's the -3), but Qualtrics has proven to be extremely effective. If someone asked, I would rate them very highly."""
R_9nxfCEzDhCn7nzD,8,Ease of use. Quality of Service.
R_8Bn1e9tCvzijoVv,10,"""The quality of the surveys, generally very good customer service (recently much improved) - especially my main man SANITIZED."""
R_3UBTM33E2oEsYWp,7,"""Customer service, ease of use"""
R_2t3xBUGjLJ0FXZH,8,"""User friendly, good customer support"""
R_0PADF0YSGnydcDX,7,"""I'm pleased by the combination of power, flexibility and ease of use that Qualtrics offers. I'm quick to recommend it to friends who work at institutions who are already Qualtrics customers or who could afford to subscribe to your services. I'm unlikely to recommend Qualtrics to friends who work independently or at small companies as I'm under the impression they are unlikely to be able to afford Qualtrics."""
R_aXdLAPcb2MwXv6t,10,I am a user and am satisfied with the product.
R_80ts0POH8k15S1T,8,"""Good interface, easy panel management, good client service.  I didn't give 10, becasue it's expensive overall."""
R_3mDG8q0L0dqTMMd,8,"""easy to use, nice features, and good support"""
R_8csYCXGDpzfsdaB,10,I've had great experiences with both your software platform and your customer service and tech help line
R_em7bHOMJWhKUOqx,9,"""Easy to use product, EXCELLENT customer service"""
R_3DwhE0jnzLGJ9Hf,9,
R_6XVBw3wOZYLSwId,8,
R_3sHGT3AL8B60zqt,9,"""I think Qualtrics is a great tool, but may not work for some in all settings."""
R_cSlvj8pQD96CBMN,7,"""Easy to use at a basic level, however, the ability to customise the survey exactly as you want is tough unless you have some specific coding skills"""
R_cNsOk4LZE2wRHAV,4,"Pricing model on ""completions"" isn't any good for low incidence rate studies if you need to keep screener data."
R_cYZtbhb6Xk6wAkJ,10,
R_0qBDv7wc3Tr5CWF,10,"""The interface, features, simple administration, and great online Help resources."""
R_03eEqSINBLWG4Rv,7,"""good tool for programming and good support, but reporting tool could be a lot more user friendly"""
R_250wUltW7nsASVf,10,Great tool with easy to learn customizations and ability to build on top of the syndicated tool
R_a8zOx6Mj5aXAU9n,8,Quality product and very easy to use.
R_4YFok13dgMYIHaZ,10,I have been very pleased with both the product and the customer service of Qualtrics
R_ahs50MWEgP8tvz7,10,I love the product!!! It's easy to use. Surveys look awesome! If I need help I just use the Help button or email the help desk. They are quick to respond and very helpful.  SANITIZED is great to work with. You should give him a raise!!! I love the Health Report. It helps me gauge what's going on with the surveys. I also love how easy and professional the reports look.
R_8jGfwmn1MGVUTKB,9,I like the simplicity of the product
R_86oFaUPkUMwsN9z,7,"""Qualtrics is affordable, somewhat user-friendly, tech support is decent, and the organization is starting to make more strides in being more customer friendly. For example, the summit in February."""
R_cNjPVkmzaswZF89,10,"""The product is good, and the service and support are excellent.  You are always trying to improve the product!"""
R_08vgo8EWP5kje4Z,9,"""Taylor is WONDERFUL.  He follows up within minutes, and gives me answers to the follow up questions he knows I am going to ask"""
R_0oIOJH4pT3EVR7n,10,"""Easy to use, many different questions and layout possibilities, great costumer service."""
R_b9i3Az05zg7bp65,10,Great team ...always willing to work together to resolve any challenges we face...
R_9GNyryAsiEtiqkR,10,
R_cx7sJXhRijCKFcp,9,1 - Your survey tool is robust. / 2 - Great customer service. / 3 - Responsive. / 4 - Knowledgeable staff. / 5 - Experience working with academics.
R_5Bgok6OxV24YBYV,5,"""Have only had the account for a few months and haven't used all of the features yet. Need more time to make a more informed decision. Also, I have been unimpressed with the support team."""
R_bfRV7PXgFgPL4K9,8,
R_dnZsFV6MlJM6eTX,10,"""Ease of use, strong user interface, wide variety of tools"""
R_cZ683AjH2rr7ZK5,8,Ease of Use in Programming
R_bBHXoheKNTqcPs1,8,"""Qualtrics is an extremely useful tool, where we can easily use things such as display logic, skip logic, and embedded data.  In order to make us more satisfied Qualtrics could provide: SPSS as an option for downloading the data through an API command and the ability to create one comprehensive list for email opt-outs/email bounces (instead of pulling it down one panel at a time)."""
R_2u93nkvP6sz9YZn,5,
R_4GRJWVeZsjVywBv,10,The Qualtrics Survey Software product is the best on the market.
R_b4oK1ytqrMN5Tff,10,"""Excellent customer service, intuitive programming framework"""
R_0x3qtG4f7hJe1jn,9,Good inferface
R_bji9ZbSLJXfbhJj,8,"""Ease of use, flexibility of survey design, some issues of clarity in uploading panels and then finding them later on in certain instances."""
R_5Bzg7ZkradYjNZz,5,
R_6zMhTuUyxQlFkxv,7,
R_6DnYTFPv0331we9,7,"""During the sales pitch, so much is put into the reporting tool, but it's still pretty broken. / The learning curve is very high and key features such as panels, survey scoring, question design to optimize reporting were left out. There was too much self learning. Host a Qualtrics Conference in the Bay Area!"""
R_3ZNh3l7gT3mlY4R,5,
R_1YsOAwskM4CxI6V,7,
R_0xshrfnQ34bxRXL,9,It works better than any other program we've used. The tech support is wonderful and respond quickly (even given the different time zone we're located in!). The software is easy to use and has all of the features we need.
R_ea0H5HTngXI6eu9,8,"""A  decent product, that you are continuously improving"""
R_9KShp05oLYxS4Dj,10,It is the best  survey platform for survey reserach that is on the market.
R_7R7Hd6PtszvvLXn,8,EU based servers
R_bkdj9qbJ12RFuSx,10,"""The programming tools are excellent, and so is the service."""
R_86vXBcTrWjKFkI5,9,User friendly software. Increased use of software.
R_4I2KDvTStVN3QGx,2,"""Your platform is not designed for an analytical mind, and therefore more suited for users who are not quantitative researchers, but rather, people who have had survey tasks added to their job responsibilities."""
R_0dYTZ4fRKJu4unb,10,
R_cVllYUR1Yjb0zVb,7,
R_9mXn8kxPbiyxnMx,9,"""your survey tools are extremely user friendly, the customer service is great and efficient and i've been really happy in using both the 360 and research tool."""
R_4NHNXhY2wQTvsZ7,10,"""Ease of use of the system, friendly support and SANITIZED!"""
R_39jAAZSd5mQtOkZ,10,Easy to use... competitive price... awesome functionality... great support team
R_0iA004phdVk6dGB,9,Tool is easy to use; tutorials provide great direction to new users; support is fantastic.
R_d6DmuRWEePUgkQJ,8,"""just starting the relationship. support has been mixed - some good, some not so."""
R_9Fve7YNKT86nSZL,9,
R_29lZA88i3sqt1WJ,9,"""Great product, easy to use and intuitive. Product has good value for price compared to your competition."""
R_bEGiFBG3ynrir2d,6,
R_bk1JvlvMMcTixSZ,10,You have a great product with tremendous versatility.
R_6eZu4cQizvBXD9j,10,
R_6MwsBfV5DXvVVdz,7,"""I don't like the support system now where they call you back.  You are changed to your desk waiting for them to call, because if you miss the call, you're out of luck"""
R_bHkorlD0HBcWurz,10,"""Options, functionality, analytics"""
R_89enafCmqH31rXT,7,I would rate you a 10 but did not as my reputation is on the line when recommending.  And there are time that my needs are not always addressed.  The main reason I stay with Qualtrics for me is that you have kept your promise on my contract and due to switching costs.
R_41sbP4I48vv83GJ,8,"""I think it is the best platform out there, but I did run into some limitations with it."""
R_cuuX92qq1gXa56d,9,Excellent customer service and a product that works really well and continues to evolve.
R_eVyBu6pqUDBHtrv,9,"""Great survey tool, but for smaller companies like our, it is a bit expensive."""
R_cw3KXKHdF5Zf36Z,3,It's. great product and good customer service but it's v expensive.
R_3vC0z8yjs6HxjPD,10,I have used multiple survey tools in the past and this one is by far the best.  I really like the customization options and reporting features.  Customer service is great too!
R_8l86qFK2WIk9g45,10,Innovation
R_9WQKT3bgxC72xs9,9,The service is great. Very quick to respond to any issues I have.
R_88nnGBA6THUftGJ,9,easy to use and supportting staff.
R_5paXQhUduNZEtq5,10,Great customer service; very responsive; wonderful product with excellent functionality.
R_eEEj6CTSSHo5qXb,10,Ease of use and responsiveness of technicians when I need help.
R_9GIBkXsXxq3wipL,8,"""Great, reliable & easy to learn!"""
R_0eLkCKFYHvr5Nt3,7,"""Easy to use, very thorough"""
R_cvVeyKN00hbnXuJ,9,relatively simple and easy to use service
R_e3SQHIHgaAYeG0Z,8,"""It's a stout platform, with some excellent features. But it's expensive, the sales folks are too persistent, and the reports need work."""
R_06qauRQSONGdopL,9,great service; easy to use; continuous improvement
R_1O1RKYeCMbREVnf,10,"""great customer service, intuitive/flexible product, innovative company"""
R_a31VTcJjmHp7vUN,10,
R_9nsDU1cI0lz0aLr,10,I work with Qualtrics a lot so knowing how to use it inside and out helps me recommend to others as i can usually help them construct a survey that suits their needs
R_4ZXm72FJnU6SLTT,3,It would depend on what a person needs.  So I would not just by default recommend Qualtrics.
R_6ETDEfoAQ8gPkz3,8,product quality
R_0BxSx4oNV5a9g21,10,Very easy to use and high quality
R_4Gu9selKmfzj33T,9,Useful and simple program
R_b96tjxB8KAbcym9,8,"""As one of the local Administrators of Qualtrics for the SANITIZED, I try to promote the product."""
R_eexP8OHJT99ibVr,8,you offer a very good product
R_8IffnyH0IyqIbt3,10,special capabilities and functionalities
R_8jNQCPymM75nKIt,8,"""I am very satisfied with the product, and think it is very reasonably priced.  However, customer support has declined over the years.  In addition, we find that new features are often added without thoroughly testing the impact they might have on other features - - i.e., something you do breaks something that was previously working."""
R_1Ul2eX3stiZzkln,5,
R_e2TwJh5sU05Jd8F,10,So easy to use
R_6lfKARaXNf7MQPX,7,
R_1HLwLhXS2p2hUdT,10,
R_bHPoYv7GEIoMKZT,10,"""easy to use, advanced programming, surveys look nice"""
R_2bC8DuXUAAO6Pgp,9,"""It is easy for a beginner to pick up, yet sophisticated enough for an experienced researcher to be satisfied with"""
R_6RU94oDQXN8f3XT,9,Qualtrics is a user friendly and robust online application.
R_89cZkzL06VTbDlb,10,"""All of the features, different types of questions, easy and user-friendly interface"""
R_dbxmMtBAoknTnvv,10,High quality of the product.  Excellent tech support.  Reasonable cost.
R_1RfUWWC6M2b1kqN,10,It is easy for people with no knowledge of web programming and web forms. The GUI provide sufficient features for general purpose surveys.
R_9YazPM13uZZwgw5,6,"""Your system is quite good, but expensive when not using surveys frequently. I've found another supplier less expensive."""
R_3ZYmotK3bUPMtV3,10,
R_9p1qcTXsi2FPDdX,10,"""Ease of use, tech support, customer service, quality of survey tool."""
R_bdP0pfnETA76bzf,8,"""You guys are WAY too expensive for an academic like me, but you're also the only software that actually does everything I need, so I'm stuck with you.   Maybe when the kids grow up, I'll leave you, Qualtrics, but for now we're a team."""
R_bdSX3Np6u6JwJox,8,
R_cZQTUDwB23BN76Z,10,"""Qualtrics support is always fast to respond, and if they can't catch me by phone, they will always send an email. I really appreciate the friendliness and expertise of all of the staff. I also appreciate willingness to help, even when the staff person is not an expert on the topic of my inquiry.  /  / For example, the other day I called the help center with a question about setting up a survey which would prevent users from selecting an option after it had been selected X number of times. SANITIZED from Support let me know that she's not an expert, but she could connect me with someone who was -- and she did!  /  / In addition, SANITIZED responded by email when he couldn't catch me by phone, and provided a link to a help article that helped me to achieve exactly what I wanted with the survey.  /  / All in all, I am confident that if I call Qualtrics support, I will find an answer in a quick and friendly manner."""
R_78kK1GDEtbMocst,10,"""Great customer support, effective learning mechanisms (tutorials, Qualtrics University)"""
R_0oBTvjkOk45K9jn,10,"""Ease of use, training materials, quality of support"""
R_4GfAc9RI3kmWcSx,9,
R_0pRaUYsLPtc9mIt,10,"""Because I already have recommended you to others, therefore, it is extremely likely. ;-"""
R_dapnKgPmKAztF9r,7,
R_eEvnsiXBcMYMTiZ,7,
R_3auO0WoJFiP6To9,10,"""Ease of use, all the options available for both easy and more complicated surveys, excellent tech support and customer service."""
R_1FIfJfsgUYCaRo1,10,It works; it's always innovating.
R_8pGAYs4raJpyXqt,9,
R_1SNDLkQIItPn8SF,8,I think you're software is fantastic but I wouldn't recommend you to people looking to do simple surveys. I think cost is prohibitive for some situations.
R_7NU3EUMjfJtx6fj,9,"""Easy to use software, survey question flexibility/capabilities, helpful support."""
R_dhtn2CxsCxWorDn,10,"""The program has always been a blessing to me.  Other survey collection tools just don't stack up to what Qualtrics can provide.  On top of that, the customer service is pro."""
R_0qeXQwm7jzjsgrX,8,"""User friendly of the solution, efficiency of the platform, questions type available, massive import for multilimgual purpose."""
R_eFl8FZmDPBsym2h,0,"""Doesn't work very well. Much like this survey doesn't work very well. Training has been bad. The person we got to train us didn't seem to know much about the software or research. Alot of the things we were sold on, we are now discovering don't work well, or cost extra."""
R_br1kbvavtBxv9Vb,10,"""The software itself is an excellent platform. I get the data I want at the speed and efficiency my business needs. Customer service has also been excellent from my account rep, SANITIZED."""
R_6FFGOQI2pRCSBOR,7,
R_b7XxsYiLDLQmtwh,10,Love it.
R_6riIu8nqfZ0RV7D,10,
R_9NSgCykzsHm2sGF,7,The tool is good but
R_3IQCgpvpazxi28t,8,
R_0puXbMej3ZUxMXj,5,The functions are not as easy to execute as I expected and the help page is not at all helpful. The drill-down question is not easily used in reports if you want to look at only one level of the answer.
R_3xggxPQdMs68qvH,8,"""I think qualtrics is great, but i wish you guys would hire more customer service agents. that is almost always a pain point. Many times no one answers."""
R_dnw2eU2uQo9Tvwx,9,I really like how everything can be done online.
R_6rn83WHPN76xY8t,8,Quick and easy to use.
R_a5D6m6aDxdGcSNv,10,"""The staff at Qualtrics have provided extraordinary service, and have been extremely patient in all of the problems that have occurred in payment of your services."""
R_3EnQrRyTYloHHHn,10,Very effective survey tool.
R_agA4pRwpMr7iagJ,9,Have been very pleased with the product and support services I have received over the past 6 months.
R_cHBZ9mATfbj564Z,7,Best solution out there. But the pro's of being able to customize the surveys so readily also creates a con that it's easy to make mistakes setting up logic etc. and it's hard to provide service to help fix everyone's specific problems.
R_bJHfGjzxs6J77rT,10,easy to use interace / wide range of question type
R_4G889zanwT5Tt6l,10,professional and easy to use
R_8pR0buCUoiodT25,8,"""We very much enjoy using Qualtrics. It's fun, user-friendly, and a sophisticated survey and reporting tool."""
R_5ajUU2YsXqKcwnz,10,"""qualtrics survey tool is easy to use and they are always making updates to it and the reporting tools. also, qualtrics was started by researchers, not by technology entrepreneurs"""
R_7TYwkKuFs36LVpX,10,"""ease of use, ability to listen to customers to make changes, SANITIZED"""
R_0PSDorMCYEhdQjz,10,"""Great product, useful documentation, great customer support."""
R_0J4IBQN9brlTBWt,10,"""Ease of use, great help tutorials, both simple and complex analytic options, great service support via phone, etc."""
R_4HGyvovfO3af9Gt,10,
R_8nVTfWd47ds3GEl,9,
R_eKazZmAsPSGJSh7,10,"""There are an amazing amount of tools to generate reporting, and the ease of creating and modifying surveys is wonderful."""
R_1TVYMptOITCAItv,10,
R_8bJ4uBBAsncyNj7,7,"""The platform is intuitive, but my team has had some challenges implementing our surveys and data feeds."""
R_byhvLB5lqDSIDD7,10,Easy administration and easy ability of people to earn the system
R_3kJ89pqiwcOBoyx,10,user friendly platform / advanced capabilities / great customer service
R_3JX99dTGja3qTLn,9,"""High quality, easy to use, advanced features are made so much easier"""
R_8p1vXlQfvUUOxPD,9,For the most part Qualtrics is easy to use and is a lot better than other options in the market ( like surveymonkey etc) for light useres. Non-researchers are usually the ones who are asking me what they should use.
R_0eVx1dgepnIAYWV,10,Your service has allowed me to vastly improve my website's performance with an easy-to-use product. Your sales and service associates are polite and respond quickly.
R_bxUxsN8Z3Mxsxhz,8,Customer service
R_a5HSJBhHDHC2Vh3,10,Your agent worked with me for a price that I could afford. I am a small business and coldn't afford the big $$ packages. I also didn't want to use survey monkey or one of the less professional cites that I had been using up to this point. Your customer service rep worked with me and his manager to come up with an annual rate that I could afford until my business grows. Thank you so much :)
R_bjBrSKVQlpP5ZgV,8,Great user interface
R_6uld0JwHY4RPtVX,8,Lack of a specific question type
R_7PVa5RAdaeVTzY9,10,"""Robust product, ease of use"""
R_d1mvO5Wz8wN116R,10,"""Qualtrics is easy to use, enables me to execute fun surveys quickly and get real-time reports."""
R_eXUZEZc8FyacAqp,8,
R_3CahlXIXW2uIJy5,6,"""In academics there are limitations to protectng human subjects that to this point Qualtrics has not adequately addressed.  For some projects we run it is approrpriate and we would use it for those, for those who have specific risks assosicated, Qualtirics seems unwilling to or unable to address the issues that are available in other systems."""
R_3KIqQjgPGdEz9OJ,8,Qualtrics is browser-based online survey platform which let survey creators can manage surveys anywhere.
R_eKe73xI4HJOkth3,10,"""Easy to use, good question types/features, flexible tool"""
R_b7Al09pRt2rQ6Dr,9,Relability and easy acess to the collected data.
R_bpI4NtjHPqgAgp7,8,The survey building tools and customer service are excellent. I'm not sure I trust the representativeness of the panels which is why I didn't give a full 10.
R_37MWkelnnWm52AZ,10,
R_8qvE0NbmyX6BSsZ,9,Flexible tool
R_9od1CpouS9CT6gR,6,I found the users of qualtrics felt happy to use it
R_bjXfPiKBzB06H0p,8,Love the features and capability.  Wish the support (online tutorials) was caught up with the new features and that the SalesForce integration was smoother.
R_2mc8hdmcsGw0Kbj,10,Capability of the survey tool
R_38WmiK1KkYF2AHX,8,Your customer service is excellent. Everyone that I have worked with has been friendly and helpful.
R_eyYFeFAjlBaCtBX,8,"""Qualtrics is the best survey software I've used (excluding free options like Google Surveys) and for the most part, is intuitive.  There are certain functions that are not intuitive or could be more clearly labeled/explained."""
R_3xZbHHWHehDaMHb,8,previous experience
R_1Nu17Cm22NQXKId,10,
R_246zqJUQZhq5REp,10,"""I've actually already recommended Qualtrics to a colleague.  The software is easy to use and yet offers complex capabilities, the staff and technical support are fabulous and the license is priced reasonably."""
R_bNu5wTOpfparRHf,5,
R_251UFopcq04jNlP,9,Great product and customer service
R_8tSHmQHrEDUa8Kx,8,The tool is quite easy to use with a reasonable set of features and ongoing development of new features.
R_beYcEuS3EaFHo1v,10,"""When I give a new user their login, I can give them a quick 20 minute overview of the tool and they are all set. It is pretty intuitive for those who know the basics about survey building. I coach them on the content, but they can create a survey and get their results fairly simply. The learning curve for the tool is very short."""
R_8jGYv36CL4s4uwt,7,"""reasonably intuitive interface with a good number of options, cost of data panels is prohibitive for academics"""
R_7Ol4V23OxIoZ1Ax,10,"""Qualtrics has proven itself as a useful tool in our service offerings.  I have found unique uses for it including leveraging it to inform us when a client has completed a file server migrate or indicate they need help which then triggers the creation of a support request.  Additionally, I have already recommended it to several people."""
R_0pRwT7CRWqVRPw1,4,
R_9oX9hQgS9sKvu8B,7,Give you my response on your question.
R_el2fCE0UqovsRIF,8,
R_2lx9gIpy4w4zz6d,10,Your product is robust and easy to use.
R_2971RLIKGstSfsh,9,Variety of capabilities
R_0ILgF8KjcLuMF2l,2,
R_befsiGGGrNTdbut,3,The platform doesn't seem too flexible. We couldn't do response formats that complete an otherwise incomplete sentence. The platform is expensive and therefore I was hoping it to be more flexible.
R_2l6Bhe63rTz2phP,10,is so easy to use and it has great features
R_86q6wSRw6MCt393,10,"""Qualtrics has excellent features that outshine any survey system that I have used. When I administer a Qualtrics survey, I always get a compliment or an inquiry about what system I've used. Qualtrics surveys are professional and very customizable."""
R_0qAHZ5j8Jfwt7aR,8,it's easy to learn and professional with many good features.
R_cUAXduJ3TKw2shT,10,You can do so much and yet it is simple if you want to do simple survey.  I do need help when people come up with crazy ideas but it seems that we can do their crazy ideas must of the time and I know that I couldnt with the other software that we used.
R_0dBvrViKmVlO9wN,10,Survey product is easy to use and great support.
R_5zkEoA6E4ebseRn,9,"""Great support, robust product, fairly easy to use"""
R_2obba5xaUpUseah,9,Experience with the software
R_cJ8LhOvepdywPjf,5,"""Overall Qualtrics is a good tool and has a lot of functionality, but we have run into repeated problems with the Editor or Reporting being buggy, and also some pretty basic usability issues that would make using it much easier if corrected, and despite having reported these, we rarely see changes made.  From what we've heard it sounds like pure number of requests is what informs feature request prioritization, which doesn't seem to make sense when there are things that maybe not that many businesses have thought to actually ask for, but would clearly improve their Qualtrics experience if implemented."""
R_dhRHA4pCqC5b4qx,7,
R_6suV6fEmdsw0D7D,10,I've already recommended it many times. Past behavior is the best predictor of future behavior.
R_9TUJT4jXu1oWkm1,10,comprehensive tool and very user friendly
R_0k1mkFxFlWoou21,10,
R_01VqIG3mJS9iFp3,8,ease of use and functionality. excellent support as well
R_56FCQeoiAlPFyL3,10,"""User friendliness, easy to access"""
R_ebn3vuqALRCe6RT,5,
R_2smgFzi5oQwqtU1,9,"""I think you offer great products and services, and I love that you're constantly innovating. The only drawback is that i do feel like I'm being nickled and dimed in some instances for services that I feel should be a part of the overall agreement."""
